scor	metoda	cale	titlu_local	->	titlu_youtube	id
0.83	fuzzy	3lar/2013	07 - The Stranger's Internship Prototype	->	3lr - The Stranger's Internship Prototype	LOZCJyjxouI
0.83	fuzzy	3lar/2013	08 - Justin stole Frankenstein's Ufo	->	3lr - Justin stole Frankenstein's Ufo	AdH11Bi6dBg
0.83	fuzzy	3lar/2013	16 - Ender's White Game Redirected	->	3lr - Ender's White Game Redirected	9AKbCDHJ8x0
0.83	fuzzy	3lar/2013	17 - Ooga Booga's Gravity Hammer	->	3lr - Ooga Booga's Gravity Hammer	2fQ3BADl__A
0.83	fuzzy	3lar/2013	21 - The Hobbit's Insidious Family	->	3lr - The Hobbit's Insidious Family	s2hdLMzV5-A
0.83	fuzzy	3lar/2013	23 - Lego's Seventh Killing Season	->	3lr - Lego's Seventh Killing Season	sJT_vfVjS7I
0.83	fuzzy	3lar/2013	31 - Railway Man's Robocop Year	->	3lr - Railway Man's Robocop Year	0vkS-NQDC60
0.83	fuzzy	3lar/2013	32 - Grudge Ghost One on Mars	->	3lr - Grudge Ghost One on Mars	hJVyRMdRMX0
0.83	fuzzy	3lar/2013	34 - Vikingdom's Frozen Last Vegas	->	3lr - Vikingdom's Frozen Last Vegas	hUtxoGOKCJc
0.83	fuzzy	3lar/2013	37 - Tarzan's Neighbors in Budapest	->	3lr - Tarzan's Neighbors in Budapest	qQMe7Fslmx8
0.83	fuzzy	3lar/2013	40 - Oldboy Perry's Christmas Raid	->	3lr - Oldboy Perry's Christmas Raid	1c8J9KeSUc4
0.83	fuzzy	3lar/2013	41 - Noah's Best Sherman Ever	->	3lr - Noah's Best Sherman Ever	ZZc4zd79vEg
0.83	fuzzy	3lar/2014	03 - The Bad Babadook Words Godzilla	->	3lr - The Bad Babadook Words Godzilla	iftU5YsOkmQ
0.83	fuzzy	3lar/2014	05 - Guardians of The Man Purge	->	3lr - Guardians of The Man Purge	7aPROrDK214
0.83	fuzzy	3lar/2014	10 - Semi Sort of Tv Top	->	3lr - Semi Sort of Tv Top	33c34c__Xs0
0.83	fuzzy	3lar/2014	11 -  Earth to Teenage Mutant Hercules	->	3lr -  Earth to Teenage Mutant Hercules	8gTPyOq5fRY
0.83	fuzzy	3lar/2018	03 - Dumbo is a Dark Pokemon	->	3LAR - Dumbo is a Dark Pokemon	oyCImyjJNNY
0.83	fuzzy	3lar/2018	04 - Madea the LEGO Lion King	->	3LAR - Madea the LEGO Lion King	6bFFYPUoVZA
0.83	fuzzy	3lar/2019	01 - US Men in Black Hellboy	->	3LAR - US Men in Black Hellboy	Zvr-X935oh8
0.83	fuzzy	3lar/2019	03 - Playmobil Movie： Shazzam the Little	->	3LAR - Playmobil Movie: Shazzam the Little	WJvE_DSA_RI
0.83	fuzzy	3lar/2019	05 - Drunk Romantic Parents： Hobbs & Shaw	->	3LAR - Drunk Romantic Parents: Hobbs & Shaw	k6ihGztyK10
0.83	fuzzy	3lar/2019	07 - MA Tolkien is Frozen 2	->	3LAR - MA Tolkien is Frozen 2	IK8umhf9JLs
0.83	fuzzy	3lar/2019	08 - Highwaymen Hustle like Angry Birds	->	3LAR - Highwaymen Hustle like Angry Birds	xfhZuG8Vsdc
0.83	fuzzy	3lar/2019	09 - Don Quixote Dragged Across Stockholm	->	3LAR - Don Quixote Dragged Across Stockholm	b578c1R25Ec
0.83	fuzzy	3lar/2019	11 - Alladin's Late Midsommar Night	->	3LAR - Alladin's Late Midsommar Night	7MMGT-JxK7I
0.83	fuzzy	3lar/2019	14 - Star Wars： The Dead Anna	->	3LAR - Star Wars: The Dead Anna	Sy2IrJn9eQU
0.83	fuzzy	3lar/2019	16 - Sonic the Stuber： Murder Mistery	->	3LAR - Sonic the Stuber: Murder Mistery	VbNB74ag9n8
0.83	fuzzy	CODIN&RAMO/ALTCEVA	01 - Outfitul perfect pentru prima intalnire	->	ALTCEVA - Outfitul perfect pentru prima intalnire	if-fm-S518k
0.86	fuzzy	3lar/2013	03 - The Red Power of the Last Exorcism	->	3lr - The Red Power of the Last Exorcism	kg7nR4de8mo
0.86	fuzzy	3lar/2013	06 - The Scary Monsters University has Fallen	->	3lr - The Scary Monsters University has Fallen	BNHfhQ-ZerA
0.86	fuzzy	3lar/2013	20 - Rush and Purge The Hot Flashes	->	3lr - Rush and Purge The Hot Flashes	YkdYV2HWRjM
0.86	fuzzy	3lar/2013	22 - 300： Rise of a Getaway Plan	->	3lr - 300: Rise of a Getaway Plan	dEo6YsNG0eg
0.86	fuzzy	3lar/2013	26 - Bad Ronin： The Wolf of Milo	->	3lr - Bad Ronin: The Wolf of Milo	vg_YhpCh6VY
0.86	fuzzy	3lar/2013	27 - The Monuments Men Lost All The Planes	->	3lr - The Monuments Men Lost All The Planes	CkzsneNj3zY
0.86	fuzzy	3lar/2013	29 - Mr. Banks The Divergent Book Thief	->	3lr - Mr. Banks The Divergent Book Thief	lIHtaRzB6OE
0.86	fuzzy	3lar/2013	35 - The Secret Homefront of Walter Frankenstein	->	3lr - The Secret Homefront of Walter Frankenstein	Oxq-WPERMQ8
0.86	fuzzy	3lar/2013	36 - Hercules Games： The Non-Stop Legend	->	3lr - Hercules Games: The Non-Stop Legend	VLLmVpfttuQ
0.86	fuzzy	3lar/2013	43 - Muppets of God： Nut Job Wanted	->	3lr - Muppets of God: Nut Job Wanted	tVVt_8eS7dk
0.86	fuzzy	3lar/2013	44 - Hungover Spidermans Games on Jupiter Ascending	->	3lr - Hungover Spidermans Games on Jupiter Ascending	RnsA81CF6MA
0.86	fuzzy	3lar/2013	45 - Sort of Semi Nu Prea Top	->	3lr - Sort of Semi Nu Prea Top	Gf8TeXff0Wk
0.86	fuzzy	3lar/2014	01 - How to Train your Ape Tomorrow	->	3lr - How to Train your Ape Tomorrow	FqSqMv4WjhU
0.86	fuzzy	3lar/2014	07 - Legend of Jinn Oz's Transformers	->	3lr - Legend of Jinn Oz's Transformers	MHCj26tWOaI
0.86	fuzzy	3lar/2014	08 - Deliver us from Sin City Monaco	->	3lr - Deliver us from Sin City Monaco	8_Kd9u40QDc
0.86	fuzzy	3lar/2018	06 - Avengers： Captain Endgame the Marvel Mutant	->	3LAR - Avengers: Captain Endgame the Marvel Mutant	tHAunE9Mr00
0.86	fuzzy	3lar/2019	19 - Semi-sort of TOP Netflix & HBO	->	3LAR - Semi-sort of TOP Netflix & HBO	7I3wZtISJEM
0.86	fuzzy	CODIN&RAMO/ALTCEVA	03 - Unboxing Laptoputz + Anunt	->	Unboxing Laptoputz + Anunt	fBxr15gAEt0
0.86	fuzzy	CSP/Gameplay	HearthStone (scurta prezentare)	->	Codin - HearthStone (scurta prezentare)	YbkfMO24cKg
0.86	fuzzy	CSP/Gameplay	Insurgency - Scurta prezentare	->	Codin - Insurgency - Scurta prezentare	7LGr-oNoKR0
0.86	fuzzy	CSP/Gameplay	LOL cu SUSAN	->	DePeStream - LOL cu SUSAN	LqOJVpCLwls
0.86	fuzzy	CSP/ZOOT SUIT	02 - CSP - TONY SOPRANO	->	CSP - TONY SOPRANO	OZ41QxOHQLE
0.86	fuzzy	CSP/ZOOT SUIT	07 - IOBAGG x NJRAMO - IOBAGG	->	IOBAGG x NJRAMO - IOBAGG	9zOm209X7m0
0.86	fuzzy	IOBAGG/OUTLAST/OUTLAST2	OUTLAST 2 DEMO	->	IOBAGG - OUTLAST 2 DEMO	7jWDqoP691w
0.86	fuzzy	IOBAGG/OUTLAST/Whistleblower	OUTLAST Whistleblower 01	->	IOBAGG - OUTLAST Whistleblower 01	DllFtR7wrsM
0.86	fuzzy	IOBAGG/OUTLAST/Whistleblower	OUTLAST Whistleblower 02	->	IOBAGG - OUTLAST Whistleblower 02	DVBHB3xR9XQ
0.86	fuzzy	IOBAGG/OUTLAST/Whistleblower	OUTLAST Whistleblower 03	->	IOBAGG - OUTLAST Whistleblower 03	yyc-du-Yec0
0.86	fuzzy	IOBAGG/OUTLAST/Whistleblower	OUTLAST Whistleblower 04	->	IOBAGG - OUTLAST Whistleblower 04	sYogDNEHrZY
0.86	fuzzy	IOBAGG/OUTLAST/Whistleblower	OUTLAST Whistleblower 05	->	IOBAGG - OUTLAST Whistleblower 05	Tz-4IZ-Sx7s
0.86	fuzzy	NinjaRamo/Muzica	MO x NjRamo - Cine Ma Vrea	->	MO x NjRamo - Cine Ma Vrea (teaser videoclip)	9DNGkApGlIM
0.86	fuzzy	RObotzi/Extras	Un Milion Special	->	RObotzi - Un Milion Special	J_bslER_3y0
0.86	fuzzy	RObotzi/Extras	Youtube Rewind 2013	->	RObotzi Youtube Rewind 2013	nd6-W_-kGdQ
0.86	fuzzy	RObotzi/Songs	Ciue Fatza Ai	->	MO - Ciue Fatza Ai	N84F3xi3jEc
0.88	fuzzy	3lar/2013	02 - Burt Wonderstone's Call is the End	->	3lr - Burt Wonderstone's Call is the End	6FvNr_8UnIU
0.88	fuzzy	3lar/2013	11 - Despicable Me Kicks The Colony's Ass	->	3lr - Despicable Me Kicks The Colony's Ass	u4I9x4qqa0I
0.88	fuzzy	3lar/2013	12 - Star Trek All Stars Into Turbo Darkness	->	3lr - Star Trek All Stars Into Turbo Darkness	5qXI8DQNFwo
0.88	fuzzy	3lar/2013	14 - No One Lives for Carrie's Elysium	->	3lr - No One Lives for Carrie's Elysium	N0J4a6Hz-Y8
0.88	fuzzy	3lar/2013	15 - Holla for Thor and his Dark World	->	3lr - Holla for Thor and his Dark World	g_Lw4RL4AHQ
0.88	fuzzy	3lar/2013	18 - Riddick's all Grown Up in Byzantium	->	3lr - Riddick's all Grown Up in Byzantium	7cA8yJqUad8
0.88	fuzzy	3lar/2013	24 - Free Magic Birds for Frankenstein's Army	->	3lr - Free Magic Birds for Frankenstein's Army	wk2Lx15z7SQ
